ReceivedMessage,ToSend,swapLetter,swapFrom,swapTo,skipLetter,charToSkip,dupLetter,charToDupe,capitaliseLetter,charToCapitalise,time,useless
The presentation slides are all messed up! They were fine when I last opened it!,Did you call tech support about it?,TRUE,a,o,FALSE,,FALSE,,FALSE,,10,
Of course I did! But no one was smart enough to solve the problem!,Sometimes tech support does that.,TRUE,o,a,FALSE,,FALSE,,FALSE,,10,
I worked on that presentation for 8 hours and lost everything!,It's not your fault.,TRUE,o,a,FALSE,,FALSE,,FALSE,,10,
It definitely isn't! I would do so much better if I was in tech support.,Of course you will.,TRUE,o,a,FALSE,,FALSE,,FALSE,,10,
Why would we hire tech support if they're not even doing their job right?,They should be doing their job more properly.,TRUE,o,a,FALSE,,FALSE,,FALSE,,10,
And how dare they say that it's my fault for not saving the file? It's their job to recover things like that!,....................,FALSE,,,FALSE,,FALSE,,FALSE,,10,
I need to speak to their manager!,Yes| you should speak to their manager.,TRUE,o,a,FALSE,,FALSE,,FALSE,,10,
If they can't solve the problem...,You should find a different solution. A better one.,TRUE,a,o,FALSE,,FALSE,,FALSE,,10,
I'm going to file a complaint to HR!,Yes| you should file a complaint to HR in that case.,TRUE,a,o,FALSE,,FALSE,,FALSE,,10,
They should all be fired for being so useless!,Yes| people should be fired for being useless.,TRUE,o,a,FALSE,,FALSE,,FALSE,,10,
I'm glad you understand. You're the only one here who still has a brain.,-,FALSE,,,FALSE,,FALSE,,FALSE,,10,
