message,sentBy,useless
A has renamed the group to 'shit talking people in front of their faces',system,
Did you hear,NPC,
Mike got a promotion at his company,NPC,
...,p1,
Apparently his younger sister tutored the son of the manager's best friend and they talked about him,NPC,
And got him the promotion,NPC,
And Mike and his boss go fishing on Sundays,NPC,
Hahaha that suckup guy,NPC,
...,p1,
And,NPC,
Hey,NPC,
Are you still working the same job for,NPC,
10 years now I guess,NPC,
...,p1,
You have left the group.,system,
