message,sentBy,useless
Karen has renamed the group to 'HR is useless',system,
Did you know that HR ignored my complaint!?,NPC,
How dare they do that to me!,NPC,
...,p1,
It's supposed to be a matter of principle to listen to complaints!,NPC,
They're being sexist! Racist! Occupationist!,NPC,
...,p1,
I can't work with people like that!,NPC,
I'm quitting!,NPC,
They're going to regret losing such an excellent employee like me!,NPC,
You can take my job!,NPC,
At least you won't be useless at it like everyone else!,NPC,
...,p1,
You have left the group.,system,
