message,sentBy,useless
The decision has been finalised.,NPC,
Congratulations| President Brown. You are the largest shareholder of our company.,NPC,
Have you provided your account details?,NPC,
Yes.,p1,
Then your share of the dividend will be transferred to you by the end of this month.,NPC,
Do you have any other questions?,NPC,
In the event that I am no longer president| will I still retain the company shares?,p1,
Yes.,NPC,
Good to know.,p1,
I quit.,p1,
Excuse me?,NPC,
I resign from my position as president.,p1,
You have left the group.,system,
